Dc (m),Tc (s),Mean Rate (%),Std (%),N
500.0,2.0,15.0,23.2,10
500.0,5.0,27.5,33.8,10
500.0,10.0,27.5,31.4,10
500.0,20.0,17.0,20.8,10
500.0,40.0,35.0,36.4,10
1000.0,2.0,31.5,30.6,10
1000.0,5.0,44.0,31.1,10
1000.0,10.0,18.0,21.9,10
1000.0,20.0,21.0,28.0,10
1000.0,40.0,21.5,22.9,10
2000.0,2.0,23.0,24.7,10
2000.0,5.0,35.0,36.0,10
2000.0,10.0,20.5,27.1,10
2000.0,20.0,27.5,37.8,10
2000.0,40.0,32.0,27.7,10
3500.0,2.0,25.5,28.9,10
3500.0,5.0,22.0,29.9,10
3500.0,10.0,19.5,28.1,10
3500.0,20.0,25.0,32.1,10
3500.0,40.0,20.0,23.5,10
5000.0,2.0,39.0,34.9,10
5000.0,5.0,18.0,27.8,10
5000.0,10.0,39.0,42.6,10
5000.0,20.0,38.0,35.7,10
5000.0,40.0,28.5,33.8,10
